"x_wgs84"	"y_wgs84"	"x_l2e"	"y_l2e"	"MMTP_2007"	"MMTP_2008"	"MMTP_2009"	"MMTP_2010"	"MMTP_2011"	"MMTP_2012"	"MMTP_2013"	"MMTP_2014"	"MMTP_2015"	"MMTP_2016"	"MMTP_2017"
10.3462	41.5511	1269700	1650200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.585	41.55	1289600	1652140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.8237	41.5483	1309510	1654080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.1917	40.8545	131801	1554820	26.418	26.182	25.659	26.687	25.129	26.321	25.347	26.622	28.154	28.229	28.229
-2.95789	40.8857	151803	1556920	26.819	26.385	25.889	26.907	25.403	26.545	25.708	26.942	28.433	28.547	28.547
-2.72413	40.9162	171797	1559020	26.664	26.107	25.631	26.604	25.137	26.2	25.501	26.692	28.178	28.33	28.33
-2.49027	40.9462	191783	1561120	26.459	25.767	25.315	26.25	24.801	25.78	25.236	26.374	27.841	28.047	28.047
-2.256	40.9757	211763	1563210	26.397	25.528	25.103	26.033	24.584	25.475	25.122	26.191	27.616	27.904	27.904
-2.02148	41.0046	231744	1565310	26.606	25.55	25.153	26.124	24.662	25.469	25.336	26.328	27.694	28.094	28.094
-1.78672	41.033	251727	1567400	26.86	25.68	25.314	26.348	24.864	25.586	25.694	26.599	27.901	28.431	28.431
-1.55178	41.0608	271706	1569480	26.987	25.751	25.415	26.496	24.995	25.637	25.955	26.777	28.02	28.664	28.664
-1.31691	41.0881	291680	1571570	26.868	25.606	25.286	26.386	24.876	25.445	25.882	26.659	27.866	28.57	28.57
-1.08187	41.1147	311645	1573650	26.758	25.447	25.142	26.277	24.757	25.224	25.747	26.514	27.703	28.425	28.425
-0.846498	41.1409	331606	1575730	27.699	26.192	25.982	27.19	25.692	26.019	26.701	27.399	28.544	29.31	29.31
-0.610957	41.1665	351563	1577810	28.632	26.952	26.81	28.072	26.614	26.828	27.589	28.226	29.342	30.12	30.12
-0.375248	41.1915	371518	1579880	29.508	27.711	27.596	28.886	27.485	27.629	28.41	28.988	30.077	30.868	30.868
-0.139373	41.2159	391470	1581960	30.837	28.974	28.876	30.265	28.794	28.931	29.709	30.133	31.358	32.289	32.289
0.0966635	41.2398	411419	1584020	31.051	29.196	29.051	30.421	28.956	29.11	29.841	30.142	31.462	32.488	32.488
0.332859	41.2632	431366	1586090	31.231	29.335	29.149	30.504	29.041	29.205	29.917	30.075	31.512	32.648	32.648
0.569208	41.286	451311	1588150	30.87	28.88	28.631	29.969	28.487	28.652	29.372	29.478	31.017	32.232	32.232
0.80571	41.3082	471253	1590210	29.809	27.709	27.366	28.704	27.172	27.331	28.072	28.264	29.835	31.054	31.054
1.04236	41.3299	491192	1592270	28.744	26.527	26.109	27.457	25.888	26.029	26.795	27.118	28.66	29.826	29.826
1.27915	41.351	511130	1594330	28.338	25.989	25.545	26.898	25.337	25.445	26.24	26.627	28.137	29.257	29.257
1.51609	41.3715	531065	1596380	28.347	25.875	25.408	26.787	25.26	25.319	26.136	26.53	28.012	29.08	29.08
1.75316	41.3915	550998	1598430	28.235	25.701	25.202	26.638	25.172	25.16	25.957	26.381	27.78	28.701	28.701
1.99036	41.4109	570929	1600470	28.189	25.667	25.137	26.654	25.251	25.17	25.922	26.341	27.64	28.391	28.391
2.2277	41.4297	590858	1602520	28.15	25.463	25.033	26.512	25.12	25.001	25.799	26.542	27.543	28.265	28.265
2.46516	41.448	610785	1604560	28.179	25.44	25.053	26.507	25.148	25.001	25.797	26.622	27.554	28.255	28.255
2.70274	41.4657	630711	1606590	28.356	25.561	25.233	26.648	25.341	25.159	25.951	26.859	27.711	28.392	28.392
2.94044	41.4829	650634	1608630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.17826	41.4994	670556	1610660	29.362	26.338	26.321	27.506	26.385	26.115	26.85	28.144	28.686	29.318	29.318
3.41619	41.5154	690477	1612690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.65422	41.5309	710396	1614720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.89236	41.5458	730313	1616740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.1306	41.5601	750229	1618760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.36894	41.5738	770143	1620780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.60736	41.587	790056	1622790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.84588	41.5996	809968	1624800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.08448	41.6116	829879	1626810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.32316	41.6231	849789	1628820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.56192	41.634	869698	1630820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.80075	41.6443	889606	1632820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.03965	41.6541	909513	1634820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.27862	41.6633	929419	1636810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.51765	41.6719	949324	1638800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.75673	41.6799	969229	1640790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.99587	41.6874	989133	1642770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.23506	41.6943	1009040	1644760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.4743	41.7006	1028940	1646730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.71357	41.7064	1048840	1648710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.95289	41.7116	1068740	1650680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.19223	41.7162	1088650	1652650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
