qd;quadrat;xl2e;yl2e;annee;nb_frenaie;volume17
0327-2012;LACANAU                                                     ;327000;2012000;;0;0
0327-2028;HOURTIN                                                     ;327000;2028000;;0;5,12778
0327-2044;VENDAYS-MONTALIVET                                          ;327000;2044000;;0;0
0327-2060;SOULAC-SUR-MER                                              ;327000;2060000;;0;0
0327-2076;SAINT-PALAIS-SUR-MER                                        ;327000;2076000;;0;0
0327-2092;LA TREMBLADE                                                ;327000;2092000;;0;11,275
0327-2108;LE CHATEAU-D'OLERON                                         ;327000;2108000;;0;38,3706
0327-2124;AYTRE                                                       ;327000;2124000;;0;0
0327-2140;LA ROCHELLE                                                 ;327000;2140000;;0;0
0327-2156;SAINT-MICHEL-EN-L'HERM                                      ;327000;2156000;;0;0
0327-2172;LUCON                                                       ;327000;2172000;;0;169,816
0327-2188;LA CHAIZE-LE-VICOMTE                                        ;327000;2188000;;0;442,6
0327-2204;LES ESSARTS                                                 ;327000;2204000;;0;38,588
0327-2220;SAINT-FULGENT                                               ;327000;2220000;;0;24,0658
0327-2236;CLISSON                                                     ;327000;2236000;;0;0
0327-2252;VALLET                                                      ;327000;2252000;;0;17,9806
0327-2268;ANCENIS                                                     ;327000;2268000;2017;0;0
0327-2284;RIAILLE                                                     ;327000;2284000;;0;53,0183
0327-2300;MOISDON-LA-RIVIERE                                          ;327000;2300000;;0;0
0327-2316;CHATEAUBRIANT                                               ;327000;2316000;;0;0
0327-2332;RETIERS                                                     ;327000;2332000;;0;0
0327-2348;CHATEAUBOURG                                                ;327000;2348000;;0;0
0327-2364;SAINT-AUBIN-DU-CORMIER                                      ;327000;2364000;2017;0;0
0327-2380;SAINT-BRICE-EN-COGLES                                       ;327000;2380000;2017;0;0
0327-2396;SAINT-JAMES                                                 ;327000;2396000;2016;0;36,3733
0327-2412;AVRANCHES                                                   ;327000;2412000;;0;0
0327-2428;SARTILLY                                                    ;327000;2428000;;0;0
0327-2444;GAVRAY                                                      ;327000;2444000;;0;0
0327-2460;COUTANCES                                                   ;327000;2460000;2014;0;0
0327-2476;VESLY                                                       ;327000;2476000;2013;0;21,6609
0327-2492;SAINTE-MERE-EGLISE                                          ;327000;2492000;2015;0;0,8842
0327-2508;VALOGNES                                                    ;327000;2508000;2013;0;4,24368
0327-2524;SAINT-PIERRE-EGLISE                                         ;327000;2524000;;0;0
0343-1772;SAINTE-ENGRACE                                              ;343000;1772000;;0;0
0343-1788;ARETTE                                                      ;343000;1788000;;0;372,726
0343-1804;ARAMITS                                                     ;343000;1804000;;1;608,73
0343-1820;NAVARRENX                                                   ;343000;1820000;;0;113,764
0343-1836;ORTHEZ                                                      ;343000;1836000;;0;201,752
0343-1852;AMOU                                                        ;343000;1852000;;0;25,9012
0343-1868;TARTAS                                                      ;343000;1868000;;0;85,0835
0343-1884;RION-DES-LANDES                                             ;343000;1884000;;0;5,03937
0343-1900;MORCENX                                                     ;343000;1900000;;0;0
0343-1916;LABOUHEYRE                                                  ;343000;1916000;;0;0
0343-1932;YCHOUX                                                      ;343000;1932000;;0;0
0343-1948;SALLES                                                      ;343000;1948000;;0;0
